TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE
AFLT,2001-01-03,,,,,0,5.1
AFLT,2001-01-04,5.9,5.9,5.9,5.9,10000,5.9
AFLT,2001-01-05,,,,,0,6.19
AFLT,2001-01-09,6,6,6,6,10000,6
AFLT,2001-01-10,6.25,6.25,6.25,6.25,5610,6.25
AFLT,2001-01-11,6.25,6.25,6.25,6.25,3139,6.25
AFLT,2001-01-12,6.2,6.2,6.2,6.2,2089,6.2
AFLT,2001-01-15,6.4,6.4,6.4,6.4,3600,6.4
AFLT,2001-01-16,6.15,6.15,6.15,6.15,500,6.15
AFLT,2001-01-17,6.3,6.5,6.3,6.47,21800,6.48
AFLT,2001-01-18,6.2,6.2,6.1,6.1,2704,6.14
AFLT,2001-01-19,6.35,6.35,6.26,6.26,16802,6.26
AFLT,2001-01-22,6.15,6.15,6.1,6.1,7500,6.11
AFLT,2001-01-23,6.5,6.5,5.96,6.29,13911,6.08
AFLT,2001-01-24,6.31,6.31,6.3,6.3,2,6.31
AFLT,2001-01-25,6.3,6.3,6.22,6.25,10006,6.3
AFLT,2001-01-26,6.26,6.35,6.25,6.35,2001,6.25
AFLT,2001-01-29,,,,,0,5.3
AFLT,2001-01-30,6,6.3,6,6.3,171,6.3
AFLT,2001-01-31,6.15,6.15,6.15,6.15,8762,6.15
AFLT,2001-02-01,6.06,6.06,6.06,6.06,23300,6.06
AFLT,2001-02-02,6.1,6.1,6.1,6.1,500,6.1
AFLT,2001-02-05,6.09,6.25,6.09,6.25,40867,6.22
AFLT,2001-02-06,6.29,6.39,6.2,6.39,39501,6.3
AFLT,2001-02-07,6.55,6.7,6.45,6.58,42228,6.56
AFLT,2001-02-08,6.68,7.99,6.68,7.95,371802,7.37
AFLT,2001-02-09,7.95,8.2,7.7,8.14,193154,7.9
AFLT,2001-02-12,8.3,8.39,8.24,8.24,104423,8.3
AFLT,2001-02-13,8.49,8.6,8.42,8.43,83960,8.48
AFLT,2001-02-14,8.58,8.59,8.39,8.5,189020,8.45
AFLT,2001-02-15,8.55,8.6,8.55,8.59,1550,8.57
AFLT,2001-02-16,8.6,8.6,8.37,8.54,35490,8.47
AFLT,2001-02-19,8.5,8.5,8.3,8.3,129400,8.42
AFLT,2001-02-20,8.26,8.27,8.26,8.27,2101,8.27
AFLT,2001-02-21,8,8,8,8,4000,8
AFLT,2001-02-22,,,,,0,7.455
AFLT,2001-02-23,,,,,0,7.6
AFLT,2001-02-26,,,,,0,7.65
AFLT,2001-02-27,,,,,0,8.3
AFLT,2001-02-28,7.98,7.98,7.98,7.98,24150,7.98
AFLT,2001-03-01,,,,,0,5.4
AFLT,2001-03-02,8.4,8.5,8.4,8.4,34750,8.41
